date,Alpha,Bravo,Charlie,Delta,Echo,Foxtrot,Golf,Hotel,India,Juliett,Actual
01/01/20,3507.28029147037,3504.14195280148,3505.41810852673,3509.05776042508,3500.16269305415,3507.22522715354,3509.02436983221,3508.21703621323,3502.84437660784,3509.83775904375,3500.00758082131
02/01/20,3509.81299674888,3506.1678505182,3502.83156773543,3500.0693610201,3508.49374266421,3509.50628350341,3508.80325226755,3508.86789238895,3509.27196249549,3501.31611639569,3506.15467060201
03/01/20,3501.22024292085,3509.54439553246,3505.46477420921,3507.92324795158,3503.52165021646,3501.56386773948,3506.92280681883,3502.83948484568,3509.71606108794,3502.65160926413,3505.07944778534
04/01/20,3503.82755854118,3509.85379309281,3507.30738205085,3502.88711924615,3502.06209329074,3503.3913468769,3502.00957511094,3502.41315987262,3509.40491718847,3503.48511225807,3507.3706182278
05/01/20,3503.11128497251,3501.58930526161,3502.82249954545,3502.23877265935,3507.71658098372,3501.28779442708,3507.94001159357,3502.2665241986,3504.30573131115,3509.43906527075,3502.69740563978
06/01/20,3509.33602863538,3507.90855847246,3505.70251360907,3501.75565378289,3502.97520727528,3504.91003360083,3503.43672879468,3501.00791512286,3509.46101885537,3502.23545169145,3500.60763471627
07/01/20,3505.70278102229,3501.7111605807,3502.30866756051,3501.23563862774,3508.1659676497,3507.80578630464,3508.01004681429,3504.49527706624,3504.13124910491,3501.68636951336,3503.21684132311
08/01/20,3503.80625838306,3500.38364211214,3507.36857931486,3504.70025460831,3504.77869210277,3501.56081670666,3503.87054881092,3504.41198407797,3501.59510678427,3500.30115053378,3501.12628950333
09/01/20,3502.55977953244,3504.28581568192,3507.51831034478,3506.54484602055,3502.080366486,3505.8680160392,3502.39484433351,3501.81174904179,3502.39058089613,3506.79344914844,3501.05287891524
10/01/20,3501.91685584605,3508.96302045916,3501.1783934505,3504.4426534242,3501.01146279172,3507.54966154187,3504.50763390807,3508.53323356115,3505.08677938414,3503.73158968015,3506.70494328669
11/01/20,3506.56154527987,3509.21514402697,3503.28871488656,3500.22275623725,3508.05921270156,3502.48224707949,3504.37875362912,3507.21963239147,3507.80800986265,3508.67241959802,3502.32231224467
12/01/20,3511.85859176027,3513.63768161133,3511.18901956177,3513.85401641425,3510.65457963998,3511.35259136921,3511.70589454777,3511.33250047761,3514.47760243198,3514.11951861904,3510.75084860937
13/01/20,3512.05715694942,3512.73435264653,3510.64283802395,3512.90472996221,3510.28379461327,3514.75088843467,3512.22950209953,3510.33192192539,3513.8677292486,3510.59536054614,3510.1517411394
14/01/20,3510.65995567931,3513.79186112478,3513.08574650983,3512.79277884895,3511.97237141401,3512.92750566084,3512.88624640772,3513.47879007379,3513.3047176631,3510.7243864678,3514.52121710763
15/01/20,3511.55828080571,3511.61078554491,3512.53378554796,3514.8621112518,3512.97306600187,3511.15250873311,3511.17857727194,3511.75308085182,3513.27268033403,3512.41600722927,3512.6728925316
16/01/20,3510.21425738525,3514.60469420951,3510.38497916946,3514.76442533253,3514.33021994794,3513.83806158326,3511.52768009526,3512.66410130732,3513.35533919016,3511.53729329148,3510.59869375523
17/01/20,3514.52971966109,3513.85935935927,3510.17435777993,3510.61546756427,3511.86820274204,3513.50924834648,3513.70033283219,3513.96426476929,3511.39723231332,3514.90836506503,3510.21445635379
