date,Alpha,Bravo,Charlie,Delta,Echo,Foxtrot,Golf,Hotel,India,Juliett,Actual
01/01/20,3507.28029147037,3504.1419528014803,3505.4181085267305,3509.05776042508,3500.1626930541497,3507.22522715354,3509.02436983221,3508.21703621323,3502.84437660784,3509.83775904375,3500.0075808213105
02/01/20,3509.81299674888,3506.1678505182,3502.8315677354303,3500.0693610201,3508.49374266421,3509.50628350341,3508.80325226755,3508.86789238895,3509.2719624954902,3501.3161163956897,3506.15467060201
03/01/20,3501.22024292085,3509.5443955324604,3505.46477420921,3507.9232479515804,3503.52165021646,3501.56386773948,3506.92280681883,3502.83948484568,3509.71606108794,3502.6516092641305,3505.07944778534
04/01/20,3503.8275585411798,3509.85379309281,3507.3073820508503,3502.8871192461497,3502.0620932907395,3503.3913468769,3502.0095751109397,3502.4131598726194,3509.40491718847,3503.48511225807,3507.3706182278
05/01/20,3503.1112849725105,3501.58930526161,3502.82249954545,3502.23877265935,3507.71658098372,3501.28779442708,3507.94001159357,3502.2665241985997,3504.30573131115,3509.4390652707502,3502.6974056397803
06/01/20,3509.3360286353804,3507.9085584724603,3505.7025136090697,3501.75565378289,3502.9752072752804,3504.91003360083,3503.43672879468,3501.00791512286,3509.4610188553697,3502.23545169145,3500.6076347162702
07/01/20,3505.70278102229,3501.7111605807,3502.3086675605105,3501.2356386277397,3508.1659676496997,3507.8057863046397,3508.0100468142896,3504.49527706624,3504.1312491049102,3501.68636951336,3503.21684132311
08/01/20,3503.80625838306,3500.38364211214,3507.36857931486,3504.70025460831,3504.7786921027696,3501.5608167066603,3503.87054881092,3504.41198407797,3501.5951067842702,3500.30115053378,3501.12628950333
09/01/20,3502.5597795324397,3504.28581568192,3507.5183103447803,3506.54484602055,3502.0803664859995,3505.8680160392,3502.3948443335103,3501.8117490417894,3502.3905808961304,3506.79344914844,3501.05287891524
10/01/20,3501.9168558460497,3508.9630204591604,3501.1783934504997,3504.4426534241998,3501.01146279172,3507.54966154187,3504.50763390807,3508.5332335611497,3505.08677938414,3503.73158968015,3506.70494328669
11/01/20,3506.56154527987,3509.2151440269704,3503.2887148865602,3500.2227562372495,3508.05921270156,3502.4822470794898,3504.3787536291197,3507.2196323914695,3507.80800986265,3508.67241959802,3502.32231224467
12/01/20,3511.85859176027,3513.6376816113298,3511.1890195617702,3513.85401641425,3510.65457963998,3511.35259136921,3511.7058945477697,3511.3325004776098,3514.47760243198,3514.11951861904,3510.75084860937
13/01/20,3512.05715694942,3512.73435264653,3510.6428380239504,3512.9047299622102,3510.2837946132695,3514.75088843467,3512.2295020995302,3510.33192192539,3513.8677292486,3510.59536054614,3510.1517411394
14/01/20,3510.6599556793103,3513.79186112478,3513.08574650983,3512.79277884895,3511.97237141401,3512.92750566084,3512.8862464077197,3513.4787900737897,3513.3047176631,3510.7243864678003,3514.52121710763
15/01/20,3511.5582808057106,3511.6107855449104,3512.53378554796,3514.8621112518,3512.97306600187,3511.15250873311,3511.1785772719395,3511.75308085182,3513.27268033403,3512.4160072292702,3512.6728925315997
16/01/20,3510.21425738525,3514.60469420951,3510.3849791694606,3514.7644253325298,3514.33021994794,3513.83806158326,3511.52768009526,3512.66410130732,3513.35533919016,3511.53729329148,3510.59869375523
17/01/20,3514.52971966109,3513.85935935927,3510.17435777993,3510.61546756427,3511.86820274204,3513.50924834648,3513.70033283219,3513.9642647692895,3511.39723231332,3514.90836506503,3510.2144563537895
18/01/20,3511.94180487247,3510.04536619401,3512.9864962728802,3510.6978697642603,3513.54980444957,3512.11590817846,3514.73507583998,3511.3852184261605,3513.0165205163203,3512.36953959047,3512.1053921401003
19/01/20,3513.82068933636,3513.61759733079,3510.48132475692,3513.1122085793,3510.431757625,3512.91768131573,3514.10011895385,3514.60871735584,3514.9683147731,3510.3183806381603,3512.00024151206
20/01/20,3515.35652044948,3518.01602519416,3516.77375787862,3515.0240869674394,3515.3604066161797,3515.6669663598605,3519.5023376949202,3517.12198349289,3519.33183327174,3519.4996377948296,3519.4553044348295
21/01/20,3517.69808883305,3516.4489339875895,3516.2962223092,3516.4941233749,3516.26691211676,3517.5890714904303,3515.26282075268,3519.0736476647203,3519.5175031825897,3519.44817987253,3515.4389837024896
